category,location_type,context,outcome_status,persistent_id,id,location_subtype,month,location.latitude,location.street.id,location.street.name,location.longitude,outcome_status.category,outcome_status.date
drugs,Force,,,b362b3e096902811eb70c32a95abf05dfd628462b7f00b02a1ad68644f3d94bb,115389224,,2023-12,52.636857,1738642,On or near St James Street,-1.128211,Court result unavailable,2025-01
drugs,Force,,,a89db1b31b302a1ee56b1f37c324d05dbc78471e7c5639a13b8d15984ab4cd43,115389734,,2023-12,52.634732,1737551,On or near Tudor Close,-1.147448,Status update unavailable,2024-04
drugs,Force,,,31789e10f3efae52abcbfe14d3c428639f7204292d7dcb5d0e76dafd17b81dce,115395063,,2023-12,52.616105,1738350,On or near Euston Street,-1.132611,Court result unavailable,2024-07
drugs,Force,,,61582d04114ec712cf8c6e9be272bc3eaf989874cbd8d6ca5f4826447c7b326f,115391687,,2023-12,52.616105,1738350,On or near Euston Street,-1.132611,Local resolution,2023-12
drugs,Force,,,301d94012ee17996b010fdf9433f239b355f4ced4fdc5714fe4058f9c572dd46,115388483,,2023-12,52.616027,1738697,On or near Westbury Road,-1.126956,Status update unavailable,2024-04
drugs,Force,,,722c0fbe9917e3c3293c7ba3d387cc834c7497990d0e7c0ecefd8b06edb5712b,115391293,,2023-12,52.621217,1737965,On or near Pavilion Close,-1.138404,Local resolution,2023-12
drugs,Force,,,47dee50e6882202a21978aa1adde28050b51db5394fba0f8ea954fe826dec453,115390234,,2023-12,52.638882,1738334,On or near Sandacre Street,-1.133417,Local resolution,2023-12
drugs,Force,,,2c69bb54cc2daf24eae352dc853d3db6364d2e68b310af92ee44de4ad6ca9df6,115390323,,2023-12,52.636623,1737784,On or near Ruding Street,-1.142978,Local resolution,2023-12
drugs,Force,,,651ee2d5bffca9a3321230b03ced2204154e72fceef065bafa8e0172945afc83,115386132,,2023-12,52.633158,1738173,On or near Wycliffe Street,-1.136205,Local resolution,2023-12
drugs,Force,,,f29a1e3a7793ea5ade9f2a111354094990b98a9d248c6488ae5e4887cc566d8f,115388232,,2023-12,52.632743,1737208,On or near Stretton Road,-1.153471,Investigation complete; no suspect identified,2023-12
drugs,Force,,,c8a1e200cf4178f7ed0408f60b3561d5167fd5660cfcde3d7bfe92e8c9e8f001,115393621,,2023-12,52.616105,1738350,On or near Euston Street,-1.132611,Formal action is not in the public interest,2024-02
drugs,Force,,,67b9045e39efee4e60e8eb76d4ff2f56bca8c2d7aa566b8ef779efffa77a363e,115399638,,2023-12,52.631131,1737644,On or near Earl Howe Terrace,-1.145568,Local resolution,2023-12
drugs,Force,,,14d57b060299075ed950756b4565c13db0800e9f36718ed7727b3a6cdbcf951a,115387916,,2023-12,52.628507,1738390,On or near Trinity Lane,-1.132159,Court result unavailable,2025-01
drugs,Force,,,6498baf5ef6fcae52ed6b1c5d33d0bc51bfee4b0c86b98cd06218e2ece1f05be,115392441,,2023-12,52.633879,1738375,On or near Horsefair Street,-1.132821,Court result unavailable,2024-06
drugs,Force,,,bf19136edd8a188f803995929bf99783c5ce440578c2f3cecdba5d5e4971df22,115401728,,2023-12,52.634392,1737937,On or near Parking Area,-1.140229,Local resolution,2024-05
drugs,Force,,,d9daaf5078d5c1ce4df9ba17c980f774e4bd859150f388376a8b7a16c94cacd0,115387408,,2023-12,52.627299,1737468,On or near Norman Street,-1.148966,Status update unavailable,2024-04
drugs,Force,,,a17dbdd7a2972b3873d329634008d07db1ddf6f42c7b124777b8ad9f2758729f,115388874,,2023-12,52.616105,1738350,On or near Euston Street,-1.132611,Court result unavailable,2024-07
drugs,Force,,,147f9565676b5d8f242069bcce884c86d6b934c4b83f4cedad39c7983266678a,115389539,,2023-12,52.628748,1737764,On or near Western Boulevard,-1.143043,Local resolution,2023-12
drugs,Force,,,6150048abad749f57cbfa0e99a320101c396956d7e784136bddf869befd14725,115399005,,2023-12,52.635078,1737968,On or near St Nicholas Place,-1.139462,Local resolution,2023-12
drugs,Force,,,04cf0421c52ee1e493d0a18a935c035f35e854e616d324977ece1e7b920e2796,115399011,,2023-12,52.635078,1737968,On or near St Nicholas Place,-1.139462,Local resolution,2023-12
drugs,Force,,,80f6a1f585f9e8a90b9a428359d8c4e674ad790f933014238650b46186f99280,115390083,,2023-12,52.632683,1737430,On or near Andrewes Close,-1.150103,Status update unavailable,2024-04
drugs,Force,,,9043f457358be865fefb59dc8ebb95e6795e28d2949c642296e8b1afdcc1db01,115384787,,2023-12,52.632743,1737208,On or near Stretton Road,-1.153471,Investigation complete; no suspect identified,2023-12
drugs,Force,,,ce97906bf52574d9065e656090d40a92fa9e1a0302fcd70ca9d2baade0ba540c,115390333,,2023-12,52.637791,1737446,On or near Tudor Road,-1.147906,Investigation complete; no suspect identified,2023-12
drugs,Force,,,0acc25ed3522c0d1ff64a71f868b0152eec4a65e33ba530ab607c81afc9d3958,115389580,,2023-12,52.616105,1738350,On or near Euston Street,-1.132611,Court result unavailable,2024-08
drugs,Force,,,f8e121b1e5dedad0ce8aa5f17546a32dcdec99f2b2fccd89113aa344c38bee07,115394394,,2023-12,52.625780,1739073,On or near Parking Area,-1.119567,Local resolution,2023-12
drugs,Force,,,bf9ba26865f81eaa205487a4e58bed6b21d357501b94390a85294700b31ebccb,115394508,,2023-12,52.628473,1737234,On or near Harrow Road,-1.153553,Status update unavailable,2024-04
drugs,Force,,,6b83c5013ba89acf738cb108a7c6edea5bb393023eca98275e64d5989e2cc7a0,115396131,,2023-12,52.629982,1738203,On or near Lower Brown Street,-1.134642,Local resolution,2024-01
drugs,Force,,,8be54822d7b92fdb4c2854ca6b699fbe4388fe3a15d71877d11d722f6710aaa8,115392732,,2023-12,52.627052,1737887,On or near Ullswater Street,-1.140875,Court result unavailable,2024-08
drugs,Force,,,617f0b99b63409c883d96034d23db6c41dee079baf9f427adfccec2de0288f5b,115393740,,2023-12,52.639138,1738822,On or near St Matthews Way,-1.125417,Local resolution,2024-01
drugs,Force,,,d8834cbca4b0a0b8862b089fff27823f4b43acfb95be5790086341bdd9c53efc,115391645,,2023-12,52.623512,1739468,On or near Stanley Road,-1.110749,Court result unavailable,2024-06
drugs,Force,,,3d542c7eff9e4d5b30bba667dbf1e765ea9d908bb2a897922854087030d212d7,115401561,,2023-12,52.634252,1738481,On or near Granby Place,-1.130997,Local resolution,2024-01
drugs,Force,,,db5484bc0758251cc251f2706aa0417eac6b5869fa60ee2fcfe6955b3e912942,115395052,,2023-12,52.626936,1737916,On or near Grasmere Street,-1.139814,Status update unavailable,2024-04
drugs,Force,,,38077924de3ff9ebec6c089cb669b73156298ccfb23b450203f881db92865a7d,115389901,,2023-12,52.627052,1737887,On or near Ullswater Street,-1.140875,Investigation complete; no suspect identified,2023-12
drugs,Force,,,b4e351114094d5904e04ef14e47bc93468838525b513b322529b68e37accb1d9,115401617,,2023-12,52.616105,1738350,On or near Euston Street,-1.132611,Formal action is not in the public interest,2024-01
drugs,Force,,,29812d26296f0b1d6bedcc823d5cceb426f8219cfe15ac5400f3bfe7fd398d48,115389438,,2023-12,52.637740,1738170,On or near Church Gate,-1.134563,Court result unavailable,2024-10
